SEÑA ESPERADA,HUAWEI/5001,DISTANCIA TOTAL,#INCIDENCIAS,FALSAS,SAMSUNG-B/5000,DISTANCIA TOTAL.1,#INCIDENCIAS.1,FALSAS.1,S8/5003,DISTANCIA TOTAL.2,#INCIDENCIAS.2,FALSAS.2,TIPO,PERSONA
A,A,121468.2075,10,E/S/T,A,101640.1799,9,E/S,A,96765.05204,9,E/S,0,1
B,B,53115.07721,7,HOLA/MAL,MAL,67748.49749,7,F/M,B,67062.76932,6,F/HOLA/M/MAL,0,1
C,MAL,62879.07308,6,M/O/ï,C,50758.82235,8,M/MAL/O/ï,C,74538.97007,8,M/MAL/O/ï,0,1
D,D,175317.4414,13,-,D,122097.9192,13,-,D,151554.6255,13,-,0,1
E,E,167369.3586,13,O,E,153094.3919,12,A,E,32620.59733,13,-,0,1
F,F,112547.4423,13,-,F,118092.7073,13,-,F,141023.9467,13,-,0,1
G,G,109265.9029,12,YO,G,84041.8139,11,"L,YO",G,127184.2684,13,-,0,1
H,H,137142.3409,12,I,H,117365.8587,13,G,H,116379.196,9,K/U/ï,0,1
I,I,102900.87,10,J/SI,I,90445.54676,8,SI/J,I,102206.01,10,SI/J,0,1
L,L,157826.8573,13,-,L,112903.8518,13,-,L,156689.1306,13,-,0,1
M,B,52202.98801,7,M/N,B,49752.95301,7,BIEN/M/MAL,M,49752.59904,5,B/BIEN/O/N,0,1
N,N,78761.76821,7,NO/M/ï,N,72616.59731,8,NO/M/ï,N,94974.77223,9,NO/R/M/ï,0,1
O,O,145711.7072,12,C,O,103436.4567,12,C,O,29154.16136,13,-,0,1
P,K,93252.80077,7,P,P,99055.99061,6,D/K/R,P,91278.7455,8,K,0,1
R,R,113771.3378,10,U,R,74142.49891,7,U,R,94604.19137,9,U,0,1
S,S,129815.6665,12,T,S,154690.7751,10,E/T,S,169276.1062,12,E,0,1
T,T,86423.02434,7,SI/S,T,89824.39566,8,A/S,T,102349.9406,8,S,0,1
U,R,64894.31703,6,U/V,U,78666.96783,8,R/V,U,115762.9338,10,R,0,1
V,V,140662.6524,13,-,V,107510.9921,13,-,V,154444.7327,13,-,0,1
W,W,149866.4932,13,-,W,127997.6237,13,-,M,80446.29582,3,B/N/U/V,0,1
Y,Y,79575.45644,6,PERDÓN,Y,19441.14434,8,PERDÓN,Y,278628.1442,7,A/Â¿CÃ“MO ESTÃS?/PER,0,1
A,A,101035.253,10,E/S/T,A,82784.4,9,E/S,A,95536.649,9,E/S,0,2
B,B,49944.526,7,HLA/M/MAL,MAL,58226.443,6,"F/HLA/MAL,M",B,47404.962,5,F/HLA/M/MAL,0,2
C,MAL,45136.491,6,M/C/O/ï¿,C,41490.844,7,M/MAL/O/ï¿,C,74211.369,8,M/MAL/O/ï¿,0,2
D,D,170117.488,13,-,D,119880.54,13,-,D,144216.771,13,-,0,2
E,E,147817.17,12,O,E,131304.93,12,A,E,15438.151,13,-,0,2
F,F,107782.675,13,-,F,101015.191,13,-,F,125787.912,13,-,0,2
G,G,104234.291,12,YO,G,83855.194,11,"L,YO",G,119219.18,13,-,0,2
H,H,120274.558,12,I,H,104314.59,12,G,H,105481.049,9,K/U/ï¿,0,2
I,I,96564.188,9,J/SI,I,78903.266,8,SI/J,I,92101.964,9,SI/J,0,2
