SEÑA ESPERADA,HUAWEI/5001,DISTANCIA TOTAL,#INCIDENCIAS,FALSAS,SAMSUNG-B/5000,DISTANCIA TOTAL.1,#INCIDENCIAS.1,FALSAS.1,S8/5003,DISTANCIA TOTAL.2,#INCIDENCIAS.2,FALSAS.2
A,A,101035.253,10,E/S/T,A,82784.4,9,E/S,A,95536.649,9,E/S
B,B,49944.526,7,HLA/M/MAL,MAL,58226.443,6,"F/HLA/MAL,M",B,47404.962,5,F/HLA/M/MAL
BN,BN,124366.082,10,B/HLA/Ñ,BN,72196.465,6,BN/HLA/M/MAL,BN,110718.608,9,B/HLA/MAL/Ñ
C,MAL,45136.491,6,M/C/O/Ñ,C,41490.844,7,M/MAL/O/Ñ,C,74211.369,8,M/MAL/O/Ñ
CME,CME,403691.071,13,-,CME,288530.549,12,B,CME,390964.694,13,-
D,D,170117.488,13,-,D,119880.54,13,-,D,144216.771,13,-
E,E,147817.17,12,O,E,131304.93,12,A,E,15438.151,13,-
F,F,107782.675,13,-,F,101015.191,13,-,F,125787.912,13,-
G,G,104234.291,12,YO,G,83855.194,11,"L,YO",G,119219.18,13,-
GRA,GRA,264370.813,13,-,GRA,194389.281,13,-,GRA,304617.564,13,-
H,H,120274.558,12,I,H,104314.59,12,G,H,105481.049,9,K/U/Ñ
HLA,HLA,49976.531,7,B/M/MAL,MAL,42445.012,6,B/HLA/M,HLA,39970.759,6,C/MAL/M/B
I,I,96564.188,9,J/SI,I,78903.266,8,SI/J,I,92101.964,9,SI/J
J,J,64776.866,6,PDN/I,J,50388.773,5,I/PDN,I,130136.253,8,J
K,K,94500.145,7,P,K,84735.78,7,P,K,87621.74,7,P
L,L,142449.303,13,#NAME?,L,112771.329,13,-,L,148815.866,13,-
M,B,40235.188,7,M/N,B,29685.519,7,BN/HLA/M/MAL,M,35340.218,5,B/BN/O/N
MAL,MAL,74734.049,13,-,MAL,65131.134,13,-,MAL,121074.851,13,-
N,N,69239.369,7,NO/R/M/Ñ,N,71938.552,8,NO/R/M/Ñ,N,89174.421,9,NO/R/M/Ñ
NO,NO,219207.233,13,-,NO,174505.718,10,N/R/U,NO,141872.699,8,N
O,O,128125.342,11,C,O,92537.28,12,C,O,11141.983,13,-
P,K,89291.34,7,P,P,78769.335,6,D/K/R,P,86436.409,7,K
PDN,J,63351.22,5,PDN/I,I,68444.232,6,J/PDN/SI,J,7331.657,5,I/PDN
Q,D,41980.354,3,G/L/P/Q/TU/X/YO/Z,X,72392.59,7,D/TU/YO/Z,X,37330.944,4,D/Q/TU/YO/Z
R,R,105705.682,10,U,R,61034.104,7,U,R,92019.523,9,U
S,S,115017.321,12,T,S,139397.91,10,E/T,S,155343.183,12,E
SI,SI,124485.031,13,-,SI,112484.776,13,-,SI,120362.235,13,-
T,T,76098.158,7,SI/S,T,71887.254,8,A/S,T,92288.839,8,S
TU,TU,69543.948,6,D/L/Q,N,84562.828,7,E/NO/TU/Z,T,47813.922,2,B/CME/E/K/NO/TU/U/X
U,R,58047.36,6,U/V,U,65555.206,8,R/V,U,104880.295,10,R
V,V,126421.007,13,-,V,103064.81,13,-,V,139719.798,13,-
W,W,134117.753,13,-,W,121402.114,13,-,M,68967.823,3,B/GRA/H/M/N/U/V
X,X,56087.495,5,Q/TU,TU,60415.337,6,Q/X/YO,TU,73364.382,9,D/Q/X
Y,Y,75324.524,6,PDN,Y,11726.204,7,PDN,Y,256254.823,7,A/CME/PDN
YO,YO,89658.681,12,G,YO,94340.376,12,G,YO,110349.711,12,G
Z,Z,81243.146,6,D/I/K/R,Z,75511.775,6,D/L,L,57775.089,3,D/K/Q/R/T/TU/X
Ñ,U,112802.459,11,Ñ,U,89760.102,10,Ñ,U,116953.636,11,Ñ
A,A,105015.027,11,S/T,A,103104.334,11,T,A,97788.02,11,S/T
B,B,76562.419,13,-,B,60039.315,13,-,B,109410.098,13,-
BN,BN,140106.913,9,M/MAL/Ñ,BN,106115.002,8,B/M/MAL,B,66204.199,4,BN/HLA/M/N
C,C,113241.826,13,-,C,101711.337,13,-,C,137578.591,13,-
CME,CME,301272.746,11,A/Z,CME,43618.135,13,-,CME,323832.775,11,A
D,D,117083.183,12,Z,D,108079.377,13,-,D,122600.054,11,Z
E,E,31302.847,2,A/D/E/I/N/O/T,E,156133.712,13,-,E,169665.291,13,-
F,F,52489.775,5,-,F,130434.133,13,-,F,170096.104,13,-
G,G,120144.854,11,YO,G,111122.138,13,-,G,113609.655,12,YO
GRA,GRA ,285956.811,13,-,GRA,233013.692,13,-,GRA,388923.568,13,-
H,H,77789.345,6,K/N/P/X/Ñ,H,81444.987,6,NO/R/U,H,86395.27,6,K/N/R/U/X/Ñ
HLA,BN,59194.371,4,B/C/F/H/M/MAL,B,45325.23,7,HLA,HLA,98354.508,9,B
I,I,83565.203,6,H/J/SI,I,60055.957,5,H/J/SI,I,94547.443,6,H/J/SI
J,J,73197.738,7,I,J,53668.18,6,I/SI,PDN,90255.393,6,A/E/I/T/Y
K,P,67274.44,6,K/R/U,K,68082.761,8,P,K,85014.108,7,P
L,L,143187.581,13,-,L,126567.531,13,-,L,74618.153,4,A/D/G/H/K/L
M,Ñ,70235.168,6,BN/M/N/U,Ñ,58025.237,6,BN/H/M/U,M,51218.597,5,BN/N/Ñ
MAL,MAL,107418.69,13,-,MAL,90105.918,13,-,MAL,144899.302,11,B/M
N,N,58336.398,7,NO/R/U,N,41437.455,7,NO/M/Ñ,N,22626.566,4,M/N/NO/R/U/V/Ñ
NO,NO,68075.129,7,N/U/V,NO,87839.057,9,N/U/V,V,51234.364,5,NO/U
O,O,77113.212,9,E,O,50182.843,7,E,E,141496.223,11,I/T
P,P,45232.213,7,K,P,47157.803,7,K,P,96742.216,8,K
PDN,PDN,117145.379,7,I/Y,PDN,95710.495,8,I/J,I,105988.822,6,J/PDN/SI/Y
Q,Q,55302.096,4,D/TU/X,D,49557.068,4,Q/TU/X,Q,91107.908,5,D/TU/X/Z
R,R,85741.467,7,U,R,71541.716,7,U,R,114173.895,8,U
S,A,60578.503,4,E/F/L/N/T/TU,S,101264.448,12,T,S,160310.835,12,T
SI,I,70316.573,6,J/SI,I,75437.181,7,J/SI,I,82106.748,7,J/SI
T,T,81452.333,7,S,T,104328.099,10,S,T,142396.302,9,S
TU,TU,95662.291,7,K/L/N/NO/R/Z,N,54981.342,4,NO/TU/Z/Ñ,TU,155942.983,9,K/N/R/Z
U,U,119774.922,13,-,U,104772.978,13,-,U,129620.123,13,-
V,V,13108.323,13,-,V,86328.556,9,U,V,144452.399,11,U
W,W,102877.497,13,-,W,81564.823,13,-,W,142472.254,12,M
X,Q,53468.254,4,D/TU/X/Z,Q,65184.133,5,D/TU/X/YO/Z,Q,90075.864,6,D/TU/X/YO
Y,Y,80159.345,7,PDN,Y,77320.482,7,PDN,Y,131822.433,7,J/PDN
YO,YO,97364.403,11,G,YO,130788.451,13,-,YO,150049.873,12,G
Z,Z,62245.308,5,K/R/S/TU/YO,Z,34776.292,3,I/K/L/NO/R/S/T/Z,Z,68171.729,4,K/NO/R/TU/YO
Ñ,U,74611.935,6,N/R/Ñ,U,43157.125,5,N/R/Ñ,N,121359.729,7,U/R/Ñ
A,A,121468.2075,10,E/S/T,A,101640.1799,9,E/S,A,96765.05204,9,E/S
B,B,53115.07721,7,HLA/MAL,MAL,67748.49749,7,F/M,B,67062.76932,6,F/HLA/M/MAL
BN,BN,139313.81,10,B/HLA/Ñ,BN,88779.50797,6,BN/HLA/M/MAL,BN,111802.6414,10,B/MAL/Ñ
C,MAL,62879.07308,6,M/O/Ñ,C,50758.82235,8,M/MAL/O/Ñ,C,74538.97007,8,M/MAL/O/Ñ
CME,CME,425154.8645,13,-,CME,289305.1728,12,B,CME,398573.0702,13,-
D,D,175317.4414,13,-,D,122097.9192,13,-,D,151554.6255,13,-
E,E,167369.3586,13,O,E,153094.3919,12,A,E,32620.59733,13,-
F,F,112547.4423,13,-,F,118092.7073,13,-,F,141023.9467,13,-
G,G,109265.9029,12,YO,G,84041.8139,11,"L,YO",G,127184.2684,13,-
GRA,GRA,273527.6338,13,-,GRA,198723.6635,13,-,GRA,324678.9948,13,-
H,H,137142.3409,12,I,H,117365.8587,13,G,H,116379.196,9,K/U/Ñ
HLA,HLA,63153.83825,7,B/M/MAL,MAL,63642.93623,6,B/M,HLA,57596.85791,6,C/MAL/M/B
I,I,102900.87,10,J/SI,I,90445.54676,8,SI/J,I,102206.01,10,SI/J
J,J,68679.61219,6,PDN,J,70793.29107,5,I/PDN,I,134342.6401,8,J
K,K,104961.5156,7,P,K,96353.95109,7,P,K,97648.19828,7,P
L,L,157826.8573,13,-,L,112903.8518,13,-,L,156689.1306,13,-
M,B,52202.98801,7,M/N,B,49752.95301,7,BN/M/MAL,M,49752.59904,5,B/BN/O/N
MAL,MAL,87510.34353,13,-,MAL,86028.16764,13,-,MAL,130702.06,13,-
N,N,78761.76821,7,NO/M/Ñ,N,72616.59731,8,NO/M/Ñ,N,94974.77223,9,NO/R/M/Ñ
NO,NO,235378.6909,13,-,NO,195987.808,10,N/R/U,NO,161676.6964,8,N
O,O,145711.7072,12,C,O,103436.4567,12,C,O,29154.16136,13,-
P,K,93252.80077,7,P,P,99055.99061,6,D/K/R,P,91278.7455,8,K
PDN,J,78729.57919,5,PDN/I,I,81084.53043,6,J/PDN/SI,J,9140.143037,5,I/PDN
Q,D,51323.70694,3,G/L/P/Q/TU/X/YO/Z,TU,89385.81538,7,D/YO/Z,X,51693.72207,5,D/Q/TU/YO/Z
R,R,113771.3378,10,U,R,74142.49891,7,U,R,94604.19137,9,U
S,S,129815.6665,12,T,S,154690.7751,10,E/T,S,169276.1062,12,E
SI,SI,131319.4788,13,-,SI,124996.258,13,-,SI,127221.1087,13,-
T,T,86423.02434,7,SI/S,T,89824.39566,8,A/S,T,102349.9406,8,S
TU,TU,86986.42281,6,L/Q,N,104351.1295,7,E/NO/Z,T,53396.50113,2,B/E/K/TU/U/X
U,R,64894.31703,6,U/V,U,78666.96783,8,R/V,U,115762.9338,10,R
V,V,140662.6524,13,-,V,107510.9921,13,-,V,154444.7327,13,-
W,W,149866.4932,13,-,W,127997.6237,13,-,M,80446.29582,3,B/N/U/V
X,X,57566.85354,5,Q/TU,TU,77956.44669,7,Q/X/YO,TU,92550.89963,10,D/Q/X
Y,Y,79575.45644,6,PDN,Y,19441.14434,8,PDN,Y,278628.1442,7,A/CME/PDN
YO,YO,98214.5774,12,G,YO,113574.6004,12,G,YO,122445.3219,12,G
Z,Z,81601.02465,6,D/I/K/R,Z,80494.12076,7,D/L,L,79047.77644,3,D/T/TU/X
Ñ,U,131183.7995,12,Ñ,U,110750.2394,10,Ñ,U,132466.1236,11,Ñ
A,A,105372.9294,11,E/S/T,A,85807.98652,10,E/S,A,109124.3888,9,E/S
