,SEÑA ESPERADA,RESULTANTES,Tipo,PERSONA
0,A,A,0,1
1,B,B,0,1
2,C,MAL,0,1
3,D,D,0,1
4,E,E,0,1
5,F,F,0,1
6,G,G,0,1
7,H,H,0,1
8,I,I,0,1
9,L,L,0,1
10,M,B,0,1
11,N,N,0,1
12,O,O,0,1
13,P,K,0,1
14,R,R,0,1
15,S,S,0,1
16,T,T,0,1
17,U,R,0,1
18,V,V,0,1
19,W,W,0,1
20,Y,Y,0,1
21,A,A,0,2
22,B,B,0,2
23,C,MAL,0,2
24,D,D,0,2
25,E,E,0,2
26,F,F,0,2
27,G,G,0,2
28,H,H,0,2
29,I,I,0,2
30,L,L,0,2
31,M,B,0,2
32,N,N,0,2
33,O,O,0,2
34,P,K,0,2
35,R,R,0,2
36,S,S,0,2
37,T,T,0,2
38,U,R,0,2
39,V,V,0,2
40,W,W,0,2
41,Y,Y,0,2
42,A,A,0,3
43,B,B,0,3
44,C,MAL,0,3
45,D,D,0,3
46,E,E,0,3
47,F,F,0,3
48,G,G,0,3
49,H,H,0,3
50,I,I,0,3
51,L,L,0,3
52,M,MAL,0,3
53,N,N,0,3
54,O,O,0,3
55,P,K,0,3
56,R,R,0,3
57,S,S,0,3
58,T,T,0,3
59,U,R,0,3
60,V,V,0,3
61,W,W,0,3
62,Y,Y,0,3
63,A,A,0,4
64,B,B,0,4
65,C,C,0,4
66,D,D,0,4
67,E,E,0,4
68,F,F,0,4
69,G,G,0,4
70,H,H,0,4
71,I,I,0,4
72,L,L,0,4
73,M,Ñ,0,4
74,N,N,0,4
75,O,O,0,4
76,P,P,0,4
77,R,R,0,4
78,S,A,0,4
79,T,T,0,4
80,U,U,0,4
81,V,V,0,4
82,W,W,0,4
83,Y,Y,0,4
84,A,A,0,5
85,B,B,0,5
86,C,C,0,5
87,D,D,0,5
88,E,E,0,5
89,F,F,0,5
90,G,G,0,5
91,H,H,0,5
92,I,I,0,5
93,L,L,0,5
94,M,M,0,5
95,N,U,0,5
96,O,O,0,5
97,P,P,0,5
98,R,R,0,5
99,S,S,0,5
100,T,A,0,5
101,U,U,0,5
102,V,V,0,5
103,W,W,0,5
104,Y,Y,0,5
105,J,J,1,1
106,K,K,1,1
107,Ñ,U,1,1
108,Q,D,1,1
109,X,X,1,1
110,Z,Z,1,1
111,BIEN,BIEN,1,1
112,¿CÓMO ESTÁS?,¿CÓMO ESTÁS?,1,1
113,GRACIAS,GRACIAS,1,1
114,HOLA,HOLA,1,1
115,MAL,MAL,1,1
116,NO,NO,1,1
117,PERDÓN,J,1,1
118,SI,SI,1,1
119,TU,TU,1,1
120,YO,YO,1,1
121,J,J,1,2
122,K,K,1,2
123,Ñ,U,1,2
124,Q,D,1,2
125,X,X,1,2
126,Z,Z,1,2
127,BIEN,BIEN,1,2
128,¿CÓMO ESTÁS?,¿CÓMO ESTÁS?,1,2
129,GRACIAS,GRACIAS,1,2
130,HOLA,HOLA,1,2
