 SEÑA ESPERADA,HUAWEI/5001,DISTANCIA TOTAL,#INCIDENCIAS,FALSAS,SAMSUNG-B/5000,DISTANCIA TOTAL.1,#INCIDENCIAS.1,FALSAS.1,S8/5003,DISTANCIA TOTAL.2,#INCIDENCIAS.2,FALSAS.2
A,0,105015.027,11,2,0,103104.334,11,1,0,97788.02,11,2
B,0,76562.419,13,1,0,60039.315,13,1,0,109410.098,13,1
BN,0,140106.913,9,3,0,106115.002,8,3,0,66204.199,4,4
C,0,113241.826,13,1,0,101711.337,13,1,0,137578.591,13,1
CME,0,301272.746,11,2,0,43618.135,13,1,0,323832.775,11,1
D,0,117083.183,12,1,0,108079.377,13,1,0,122600.054,11,1
E,0,31302.847,2,7,0,156133.712,13,1,0,169665.291,13,1
F,0,52489.775,5,1,0,130434.133,13,1,0,170096.104,13,1
G,0,120144.854,11,1,0,111122.138,13,1,0,113609.655,12,1
GRA,0,285956.811,13,1,0,233013.692,13,1,0,388923.568,13,1
H,0,77789.345,6,5,0,81444.987,6,3,0,86395.27,6,6
HLA,0,59194.371,4,6,0,45325.23,7,1,0,98354.508,9,1
I,0,83565.203,6,3,0,60055.957,5,3,0,94547.443,6,3
J,0,73197.738,7,1,0,53668.18,6,2,0,90255.393,6,5
K,0,67274.44,6,3,0,68082.761,8,1,0,85014.108,7,1
L,0,143187.581,13,1,0,126567.531,13,1,0,74618.153,4,6
M,0,70235.168,6,4,0,58025.237,6,4,0,51218.597,5,3
MAL,0,107418.69,13,1,0,90105.918,13,1,0,144899.302,11,2
N,0,58336.398,7,3,0,41437.455,7,3,0,22626.566,4,7
NO,0,68075.129,7,3,0,87839.057,9,3,0,51234.364,5,2
O,0,77113.212,9,1,0,50182.843,7,1,0,141496.223,11,2
P,0,45232.213,7,1,0,47157.803,7,1,0,96742.216,8,1
PDN,0,117145.379,7,2,0,95710.495,8,2,0,105988.822,6,4
Q,0,55302.096,4,3,0,49557.068,4,3,0,91107.908,5,4
R,0,85741.467,7,1,0,71541.716,7,1,0,114173.895,8,1
S,0,60578.503,4,6,0,101264.448,12,1,0,160310.835,12,1
SI,0,70316.573,6,2,0,75437.181,7,2,0,82106.748,7,2
T,0,81452.333,7,1,0,104328.099,10,1,0,142396.302,9,1
TU,0,95662.291,7,6,0,54981.342,4,4,0,155942.983,9,4
U,0,119774.922,13,1,0,104772.978,13,1,0,129620.123,13,1
V,0,13108.323,13,1,0,86328.556,9,1,0,144452.399,11,1
W,0,102877.497,13,1,0,81564.823,13,1,0,142472.254,12,1
