SEÑA ESPERADA,HUAWEI/5001,DISTANCIA TOTAL,#INCIDENCIAS,FALSAS,SAMSUNG-B/5000,DISTANCIA TOTAL.1,#INCIDENCIAS.1,FALSAS.1,S8/5003,DISTANCIA TOTAL.2,#INCIDENCIAS.2,FALSAS.2
A,1,101035.253,10,2,1,82784.4,9,1,1,95536.649,9,1
B,1,49944.526,7,2,0,58226.443,6,2,1,47404.962,5,3
BN,1,124366.082,10,2,1,72196.465,6,3,1,110718.608,9,3
C,0,45136.491,6,3,1,41490.844,7,3,1,74211.369,8,3
CME,1,403691.071,13,0,1,288530.549,12,0,1,390964.694,13,0
D,1,170117.488,13,0,1,119880.54,13,0,1,144216.771,13,0
E,1,147817.17,12,0,1,131304.93,12,0,1,15438.151,13,0
F,1,107782.675,13,0,1,101015.191,13,0,1,125787.912,13,0
G,1,104234.291,12,0,1,83855.194,11,0,1,119219.18,13,0
GRA,1,264370.813,13,0,1,194389.281,13,0,1,304617.564,13,0
H,1,120274.558,12,0,1,104314.59,12,0,1,105481.049,9,2
HLA,1,49976.531,7,2,0,42445.012,6,2,1,39970.759,6,3
I,1,96564.188,9,1,1,78903.266,8,1,1,92101.964,9,1
J,1,64776.866,6,1,1,50388.773,5,1,0,130136.253,8,0
K,1,94500.145,7,0,1,84735.78,7,0,1,87621.74,7,0
L,1,142449.303,13,0,1,112771.329,13,0,1,148815.866,13,0
M,0,40235.188,7,1,0,29685.519,7,3,1,35340.218,5,3
MAL,1,74734.049,13,0,1,65131.134,13,0,1,121074.851,13,0
N,1,69239.369,7,3,1,71938.552,8,3,1,89174.421,9,3
NO,1,219207.233,13,0,1,174505.718,10,2,1,141872.699,8,0
O,1,128125.342,11,0,1,92537.28,12,0,1,11141.983,13,0
P,0,89291.34,7,0,1,78769.335,6,2,1,86436.409,7,0
PDN,0,63351.22,5,1,0,68444.232,6,2,0,7331.657,5,1
Q,0,41980.354,3,7,0,72392.59,7,3,0,37330.944,4,4
R,1,105705.682,10,0,1,61034.104,7,0,1,92019.523,9,0
S,1,115017.321,12,0,1,139397.91,10,1,1,155343.183,12,0
SI,1,124485.031,13,0,1,112484.776,13,0,1,120362.235,13,0
T,1,76098.158,7,1,1,71887.254,8,1,1,92288.839,8,0
TU,1,69543.948,6,2,0,84562.828,7,3,0,47813.922,2,7
U,0,58047.36,6,1,1,65555.206,8,1,1,104880.295,10,0
V,1,126421.007,13,0,1,103064.81,13,0,1,139719.798,13,0
W,1,134117.753,13,0,1,121402.114,13,0,0,68967.823,3,6
X,1,56087.495,5,1,0,60415.337,6,2,0,73364.382,9,2
Y,1,75324.524,6,0,1,11726.204,7,0,1,256254.823,7,2
YO,1,89658.681,12,0,1,94340.376,12,0,1,110349.711,12,0
Z,1,81243.146,6,3,1,75511.775,6,1,0,57775.089,3,6
Ñ,0,112802.459,11,0,0,89760.102,10,0,0,116953.636,11,0
A,1,105015.027,11,1,1,103104.334,11,0,1,97788.02,11,1
B,1,76562.419,13,0,1,60039.315,13,0,1,109410.098,13,0
BN,1,140106.913,9,2,1,106115.002,8,2,0,66204.199,4,3
C,1,113241.826,13,0,1,101711.337,13,0,1,137578.591,13,0
CME,1,301272.746,11,1,1,43618.135,13,0,1,323832.775,11,0
D,1,117083.183,12,0,1,108079.377,13,0,1,122600.054,11,0
E,1,31302.847,2,6,1,156133.712,13,0,1,169665.291,13,0
F,1,52489.775,5,0,1,130434.133,13,0,1,170096.104,13,0
G,1,120144.854,11,0,1,111122.138,13,0,1,113609.655,12,0
GRA,0,285956.811,13,0,1,233013.692,13,0,1,388923.568,13,0
H,1,77789.345,6,4,1,81444.987,6,2,1,86395.27,6,5
HLA,0,59194.371,4,5,0,45325.23,7,0,1,98354.508,9,0
I,1,83565.203,6,2,1,60055.957,5,2,1,94547.443,6,2
J,1,73197.738,7,0,1,53668.18,6,1,0,90255.393,6,4
K,0,67274.44,6,2,1,68082.761,8,0,1,85014.108,7,0
L,1,143187.581,13,0,1,126567.531,13,0,1,74618.153,4,5
M,0,70235.168,6,3,0,58025.237,6,3,1,51218.597,5,2
MAL,1,107418.69,13,0,1,90105.918,13,0,1,144899.302,11,1
N,1,58336.398,7,2,1,41437.455,7,2,1,22626.566,4,6
NO,1,68075.129,7,2,1,87839.057,9,2,0,51234.364,5,1
O,1,77113.212,9,0,1,50182.843,7,0,0,141496.223,11,1
P,1,45232.213,7,0,1,47157.803,7,0,1,96742.216,8,0
PDN,1,117145.379,7,1,1,95710.495,8,1,0,105988.822,6,3
Q,1,55302.096,4,2,0,49557.068,4,2,1,91107.908,5,3
R,1,85741.467,7,0,1,71541.716,7,0,1,114173.895,8,0
